Reservoir,District,Year,Gross Capacity,Current Storage,Inflow,Outflow
ALAGANURU BALANCING RESERVOIR,10,2019,2.97,2.1550000000000002,281.5,10.0
ALAGANURU BALANCING RESERVOIR,10,2020,2.97,2.034,76.2,102.0
ALAGANURU BALANCING RESERVOIR,10,2021,2.97,1.06,34.0,30.0
BRAHMAMSAGAR RESERVOIR,26,2017,17.74,2.0424999999999995,590.0,209.75
BRAHMAMSAGAR RESERVOIR,26,2018,17.74,2.4850000000000003,347.5,461.0
BRAHMAMSAGAR RESERVOIR,26,2019,17.74,2.64,1070.6666666666667,272.3333333333333
BRAHMAMSAGAR RESERVOIR,26,2020,17.74,2.6574999999999998,1179.5,527.25
BRAHMAMSAGAR RESERVOIR,26,2021,17.74,2.625,786.75,517.5
BRAHMAMSAGAR RESERVOIR,26,2022,17.74,4.672,1307.8,481.2
BRAHMAMSAGAR RESERVOIR,26,2024,17.74,5.47,1589.0,434.6666666666667
CHITRAVATI BALANCING RESERVOIR,26,2017,10.0,0.36,1175.0,40.0
CHITRAVATI BALANCING RESERVOIR,26,2018,10.0,1.28,840.0,85.0
CHITRAVATI BALANCING RESERVOIR,26,2019,10.0,4.3225,849.0,250.0
CHITRAVATI BALANCING RESERVOIR,26,2020,10.0,6.782000000000001,1499.8,830.6
CHITRAVATI BALANCING RESERVOIR,26,2021,10.0,9.083333333333334,929.3333333333334,846.6666666666666
CHITRAVATI BALANCING RESERVOIR,26,2022,10.0,9.176666666666668,1346.0,1165.3333333333333
CHITRAVATI BALANCING RESERVOIR,26,2023,10.0,8.212499999999999,370.0,160.0
CHITRAVATI BALANCING RESERVOIR,26,2024,10.0,6.525,683.75,187.5
GOTTA BARRAGE,21,2017,0.61,0.4000000000000001,2570.8333333333335,2626.3333333333335
GOTTA BARRAGE,21,2018,0.61,0.26,3273.3333333333335,3273.3333333333335
GOTTA BARRAGE,21,2019,0.61,0.31666666666666665,5158.666666666667,5184.666666666667
GOTTA BARRAGE,21,2020,0.61,0.3842857142857143,1218.4285714285713,1289.142857142857
GOTTA BARRAGE,21,2021,0.61,0.46,4613.75,3086.0
GOTTA BARRAGE,21,2022,0.61,0.306,971.6,1101.8
GOTTA BARRAGE,21,2023,0.61,0.33,782.7142857142857,755.4285714285714
GOTTA BARRAGE,21,2024,0.61,0.32285714285714284,509.14285714285717,495.85714285714283
GUNDLAKAMMA RESERVOIR,18,2017,3.86,1.43,1457.0,40.0
GUNDLAKAMMA RESERVOIR,18,2019,3.86,3.76,1399.5,520.5
GUNDLAKAMMA RESERVOIR,18,2020,3.86,3.21,3678.25,3140.0
GUNDLAKAMMA RESERVOIR,18,2021,3.86,3.265,1939.5,1613.8333333333333
GUNDLAKAMMA RESERVOIR,18,2022,3.86,2.39,1428.875,2398.875
GUNDLAKAMMA RESERVOIR,18,2023,3.86,1.4799999999999998,698.6666666666666,820.5
GUNDLAKAMMA RESERVOIR,18,2024,3.86,1.0733333333333335,3869.6666666666665,3932.6666666666665
KANDALERU RESERVOIR,20,2017,68.03,18.375,5405.0,344.0
KANDALERU RESERVOIR,20,2018,68.03,14.225000000000001,4505.0,2115.5
KANDALERU RESERVOIR,20,2019,68.03,32.76333333333333,8035.666666666667,2231.6666666666665
KANDALERU RESERVOIR,20,2020,68.03,44.038000000000004,5424.8,2290.0
KANDALERU RESERVOIR,20,2021,68.03,51.85000000000001,2449.625,1782.5
KANDALERU RESERVOIR,20,2022,68.03,49.5475,4645.0,1927.0
KANDALERU RESERVOIR,20,2023,68.03,32.485,1600.0,1257.5
KANDALERU RESERVOIR,20,2024,68.03,20.625,5907.5,897.5
MYLAVARAM(PENNAR) RESERVOIR,26,2019,9.98,7.38,3560.75,2804.0
MYLAVARAM(PENNAR) RESERVOIR,26,2022,9.98,1.4366666666666668,2326.6666666666665,1962.3333333333333
MYLAVARAM(PENNAR) RESERVOIR,26,2023,9.98,1.4349999999999998,7761.5,1556.0
MYLAVARAM(PENNAR) RESERVOIR,26,2024,9.98,2.7725,7591.0,2419.5
NAGARJUNA SAGAR,9,2017,312.05,164.71999999999997,26654.4,8281.2
NAGARJUNA SAGAR,9,2018,312.05,223.1225,46922.25,22846.5
NAGARJUNA SAGAR,9,2019,312.05,190.55142857142854,11970.0,16104.142857142857
NAGARJUNA SAGAR,9,2020,312.05,238.6633333333333,13029.333333333334,14750.555555555555
NAGARJUNA SAGAR,9,2021,312.05,243.86272727272726,54979.36363636364,56650.36363636364
NAGARJUNA SAGAR,9,2022,312.05,244.11899999999997,27235.5,23568.1
