Basin,District,Gross Capacity,Current Level,Current Storage,Flood Cushion,Inflow,Outflow,Year,Month,reservoir_id
Krishna,10,215.81,862.89,115.13,100.68,0.0,4700.0,2017,1,1
Krishna,9,312.05,518.8,147.04,165.01,12019.0,16891.0,2017,1,2
Krishna,13,3.07,56.82,3.02,0.05,3818.0,1423.0,2017,1,4
Other,7,24.11,253.71,10.54,13.57,129.0,615.0,2017,1,5
Pennar,26,17.74,652.65,5.35,12.39,420.0,292.0,2017,1,6
Other,23,4.96,358.9,1.26,3.7,0.0,0.0,2017,1,7
Other,18,3.86,71.0,1.45,2.41,0.0,330.0,2017,1,8
Other,24,2.51,341.8,2.0,0.51,587.0,315.0,2017,1,9
Other,21,0.61,122.8,0.44,0.17,222.0,222.0,2017,1,10
Pennar,20,78.0,306.07,36.42,41.58,2158.0,3825.0,2017,1,11
Other,20,68.03,222.74,13.67,54.36,0.0,50.0,2017,1,12
Pennar,10,16.95,852.43,9.77,7.18,200.0,3500.0,2017,1,14
Pennar,26,10.0,938.4,1.14,8.86,0.0,41.0,2017,1,16
Pennar,26,9.98,609.12,0.0,9.98,0.0,0.0,2017,1,17
Pennar,26,6.0,-999.0,-999.0,6.0,-999.0,-999.0,2017,1,18
Pennar,10,2.97,865.78,2.44,0.53,-999.0,-999.0,2017,1,20
Pennar,26,1.6,-999.0,-999.0,1.6,-999.0,-999.0,2017,1,21
Pennar,3,0.31,-999.0,-999.0,0.31,-999.0,-999.0,2017,1,22
Krishna,10,215.81,848.88,77.62,138.19,0.0,62134.0,2017,2,1
Krishna,9,312.05,514.6,139.61,172.44,58209.0,1350.0,2017,2,2
Krishna,13,3.07,55.35,2.64,0.43,1882.0,115.0,2017,2,4
Other,7,24.11,246.82,8.52,15.59,65.0,798.0,2017,2,5
Pennar,26,17.74,612.96,0.94,16.8,20.0,342.0,2017,2,6
Other,23,4.96,363.52,1.87,3.09,30.0,0.0,2017,2,7
Other,18,3.86,68.01,1.32,2.54,0.0,30.0,2017,2,8
Other,24,2.51,341.99,2.04,0.47,428.0,301.0,2017,2,9
Other,21,0.61,120.96,0.28,0.33,66.0,66.0,2017,2,10
Pennar,20,78.0,299.98,29.39,48.61,333.0,3750.0,2017,2,11
Other,20,68.03,212.43,9.29,58.74,0.0,1550.0,2017,2,12
Pennar,10,16.95,847.24,7.75,9.2,645.0,50.0,2017,2,14
Pennar,26,10.0,927.99,0.35,9.65,0.0,71.0,2017,2,16
Pennar,26,9.98,609.19,0.0,9.98,-999.0,-999.0,2017,2,17
Pennar,26,6.0,-999.0,-999.0,6.0,-999.0,-999.0,2017,2,18
Pennar,10,2.97,865.94,2.46,0.51,-999.0,-999.0,2017,2,20
Pennar,26,1.6,-999.0,-999.0,1.6,-999.0,-999.0,2017,2,21
Pennar,3,0.31,-999.0,-999.0,0.31,-999.0,-999.0,2017,2,22
Krishna,10,215.81,823.39,43.44,172.37,0.0,12007.0,2017,3,1
Krishna,9,312.05,511.38,134.06,177.99,12007.0,10481.0,2017,3,2
Krishna,13,3.07,56.04,2.84,0.23,1391.0,736.0,2017,3,4
Other,7,24.11,239.14,6.43,17.68,-999.0,-999.0,2017,3,5
Pennar,26,17.74,646.29,4.31,13.43,0.0,-999.0,2017,3,6
Other,23,4.96,350.2,0.51,4.45,-999.0,-999.0,2017,3,7
Other,18,3.86,67.55,1.17,2.69,-999.0,-999.0,2017,3,8
Other,24,2.51,340.29,1.74,0.77,-999.0,-999.0,2017,3,9
Other,21,0.61,112.8,0.04,0.57,120.0,0.0,2017,3,10
Pennar,20,78.0,288.42,18.98,59.02,70.0,3739.0,2017,3,11
Other,20,68.03,-999.0,7.56,60.47,175.0,1202.0,2017,3,12
Pennar,10,16.95,-999.0,5.89,11.06,0.0,463.0,2017,3,14
Pennar,26,10.0,-999.0,0.0,10.0,0.0,0.0,2017,3,16
Pennar,26,9.98,609.12,0.0,9.98,-999.0,-999.0,2017,3,17
Pennar,26,6.0,-999.0,-999.0,6.0,-999.0,-999.0,2017,3,18
Pennar,10,2.97,864.3,2.25,0.72,-999.0,-999.0,2017,3,20
Pennar,26,1.6,-999.0,-999.0,1.6,-999.0,-999.0,2017,3,21
Pennar,3,0.31,-999.0,-999.0,0.31,-999.0,-999.0,2017,3,22
Krishna,10,215.81,806.89,32.54,183.27,0.0,13118.0,2017,4,1
Krishna,9,312.05,508.3,128.8,183.25,13118.0,5413.0,2017,4,2
Krishna,13,3.07,53.48,2.14,0.93,1306.0,1200.0,2017,4,4
Other,7,24.11,-999.0,4.48,19.63,34.0,826.0,2017,4,5
Pennar,26,17.74,612.96,0.94,16.8,-999.0,-999.0,2017,4,6
Other,23,4.96,359.61,1.33,3.63,-999.0,-999.0,2017,4,7
Other,18,3.86,67.55,1.17,2.69,-999.0,-999.0,2017,4,8
Other,24,2.51,339.83,1.67,0.84,-999.0,-999.0,2017,4,9
Other,21,0.61,110.6,0.0,0.61,60.0,73.0,2017,4,10
Pennar,20,78.0,279.04,12.5,65.5,0.0,2118.0,2017,4,11
Other,20,68.03,204.76,6.82,61.21,0.0,137.0,2017,4,12
Pennar,10,16.95,835.93,4.44,12.51,0.0,648.0,2017,4,14
Pennar,26,10.0,927.66,0.34,9.66,0.0,46.0,2017,4,16
Pennar,26,9.98,609.12,0.0,9.98,-999.0,-999.0,2017,4,17
Pennar,26,6.0,-999.0,-999.0,6.0,-999.0,-999.0,2017,4,18
Pennar,10,2.97,845.28,0.59,2.38,-999.0,-999.0,2017,4,20
Pennar,26,1.6,-999.0,-999.0,1.6,-999.0,-999.0,2017,4,21
Pennar,3,0.31,-999.0,-999.0,0.31,-999.0,-999.0,2017,4,22
Krishna,10,215.81,791.31,24.94,190.87,0.0,0.0,2017,5,1
Krishna,9,312.05,504.89,123.17,188.88,0.0,400.0,2017,5,2
Krishna,13,3.07,45.01,0.0,3.07,135.0,0.0,2017,5,4
Other,7,24.11,-999.0,3.56,20.55,56.0,118.0,2017,5,5
Pennar,26,17.74,612.96,0.94,16.8,0.0,42.0,2017,5,6
Other,23,4.96,359.32,1.3,3.66,0.0,0.0,2017,5,7
Other,18,3.86,67.52,1.16,2.7,-999.0,-999.0,2017,5,8
Other,24,2.51,337.47,1.32,1.19,180.0,510.0,2017,5,9
Other,21,0.61,109.09,0.0,0.61,29.0,29.0,2017,5,10
Pennar,20,78.0,272.48,8.82,69.18,0.0,500.0,2017,5,11
Other,20,68.03,200.69,5.68,62.35,0.0,170.0,2017,5,12
Pennar,10,16.95,830.94,3.17,13.78,0.0,243.0,2017,5,14
Pennar,26,10.0,926.71,0.29,9.71,0.0,0.0,2017,5,16
Pennar,26,9.98,609.12,0.0,9.98,-999.0,-999.0,2017,5,17
Pennar,26,6.0,-999.0,-999.0,6.0,-999.0,-999.0,2017,5,18
Pennar,10,2.97,846.42,0.65,2.32,-999.0,-999.0,2017,5,20
Pennar,26,1.6,-999.0,-999.0,1.6,-999.0,-999.0,2017,5,21
Pennar,3,0.31,-999.0,-999.0,0.31,-999.0,-999.0,2017,5,22
Krishna,10,215.81,775.5,18.72,197.09,0.0,0.0,2017,6,1
Krishna,9,312.05,502.4,119.13,192.92,0.0,400.0,2017,6,2
Krishna,13,3.07,52.92,2.01,1.06,4838.0,1534.0,2017,6,4
Other,7,24.11,-999.0,3.07,21.04,35.0,152.0,2017,6,5
Pennar,26,17.74,612.96,0.94,16.8,0.0,122.0,2017,6,6
Other,23,4.96,359.4,1.31,3.65,20.0,0.0,2017,6,7
Other,18,3.86,67.55,1.17,2.69,-999.0,-999.0,2017,6,8
Other,24,2.51,337.83,1.37,1.14,320.0,230.0,2017,6,9
Other,21,0.61,110.27,0.0,0.61,37.0,37.0,2017,6,10
Pennar,20,78.0,269.83,7.5,70.5,0.0,100.0,2017,6,11
Other,20,68.03,198.33,5.09,62.94,0.0,97.0,2017,6,12
