District,Average Evapotranspiration,Year,Month,Total Evaporation
3,1.85,2018,7,57.35
3,1.9,2018,8,58.9
3,2.13,2018,9,63.9
3,1.91,2018,10,59.21
3,0.69,2018,11,20.7
3,0.27,2018,12,8.37
3,0.95,2019,1,29.45
3,0.8,2019,2,22.4
3,0.42,2019,3,13.02
3,0.7,2019,4,21.0
3,1.27,2019,5,39.37
3,2.36,2019,6,70.8
3,2.57,2019,7,79.67
3,3.68,2019,8,114.08
3,3.38,2019,9,101.4
3,2.73,2019,10,84.63
3,2.05,2019,11,61.5
3,1.0,2019,12,31.0
3,0.39,2020,1,12.09
3,0.15,2020,2,4.35
3,0.1,2020,3,3.1
3,0.67,2020,4,20.1
3,1.5,2020,5,46.5
3,2.71,2020,6,81.3
3,3.31,2020,7,102.61
3,3.8,2020,8,117.8
3,3.29,2020,9,98.7
3,3.32,2020,10,102.92
3,1.8,2020,11,54.0
3,0.94,2020,12,29.14
3,0.86,2021,1,26.66
3,0.7,2021,2,19.6
3,0.48,2021,3,14.88
3,0.67,2021,4,20.1
3,1.35,2021,5,41.85
3,2.34,2021,6,70.2
3,3.03,2021,7,93.93
3,2.85,2021,8,88.35
3,2.52,2021,9,75.6
3,2.33,2021,10,72.23
3,0.94,2021,12,29.14
3,0.66,2022,1,20.46
3,0.59,2022,2,16.52
3,0.37,2022,3,11.47
3,0.41,2022,4,12.3
3,1.47,2022,5,45.57
3,2.61,2022,6,78.3
3,2.48,2022,7,76.88
3,4.0,2022,8,124.0
3,3.52,2022,9,105.6
3,3.04,2022,10,94.24
3,1.63,2022,11,48.9
3,0.77,2022,12,23.87
3,0.53,2023,1,16.43
3,0.36,2023,2,10.08
3,0.42,2023,3,13.02
3,0.46,2023,4,13.8
3,1.47,2023,5,45.57
3,1.68,2023,6,50.4
3,2.05,2023,7,63.55
3,1.83,2023,8,56.73
3,2.62,2023,9,78.6
3,1.36,2023,10,42.16
3,0.96,2023,11,28.8
3,0.37,2023,12,11.47
3,0.2,2024,1,6.2
3,0.15,2024,2,4.35
3,0.11,2024,3,3.41
3,0.16,2024,4,4.8
3,1.2,2024,5,37.2
3,2.63,2024,6,78.9
3,2.08,2024,7,64.48
3,3.29,2024,8,101.99
3,2.71,2024,9,81.3
3,3.19,2024,10,98.89
6,2.84,2018,7,88.04
6,2.86,2018,8,88.66
6,2.91,2018,9,87.3
6,2.52,2018,10,78.12
6,1.58,2018,11,47.4
6,1.23,2018,12,38.13
6,1.51,2019,1,46.81
6,1.53,2019,2,42.84
6,0.49,2019,3,15.19
6,0.5,2019,4,15.0
6,1.71,2019,5,53.01
6,2.44,2019,6,73.2
6,3.22,2019,7,99.82
6,3.74,2019,8,115.94
6,3.51,2019,9,105.3
6,2.62,2019,10,81.22
6,1.98,2019,11,59.4
6,1.63,2019,12,50.53
6,1.03,2020,1,31.93
6,0.57,2020,2,16.53
6,0.31,2020,3,9.61
6,1.21,2020,4,36.3
6,1.67,2020,5,51.77
6,3.15,2020,6,94.5
6,3.8,2020,7,117.8
6,3.75,2020,8,116.25
6,3.07,2020,9,92.1
6,3.44,2020,10,106.64
6,2.67,2020,11,80.1
6,1.9,2020,12,58.9
6,1.31,2021,1,40.61
6,1.04,2021,2,29.12
6,0.79,2021,3,24.49
6,0.85,2021,4,25.5
6,1.1,2021,5,34.1
6,2.06,2021,6,61.8
6,3.62,2021,7,112.22
6,3.51,2021,8,108.81
6,3.76,2021,9,112.8
6,3.48,2021,10,107.88
6,1.69,2021,12,52.39
6,0.96,2022,1,29.76
6,0.83,2022,2,23.24
6,0.65,2022,3,20.15
6,0.52,2022,4,15.6
6,2.01,2022,5,62.31
6,2.62,2022,6,78.6
6,2.95,2022,7,91.45
6,3.83,2022,8,118.73
6,3.71,2022,9,111.3
6,2.78,2022,10,86.18
6,2.32,2022,11,69.6
6,1.61,2022,12,49.91
6,0.9,2023,1,27.9
6,0.71,2023,2,19.88
6,1.05,2023,3,32.55
6,1.19,2023,4,35.7
6,1.72,2023,5,53.32
6,2.2,2023,6,66.0
6,2.6,2023,7,80.6
6,2.29,2023,8,70.99
6,3.8,2023,9,114.0
6,2.18,2023,10,67.58
6,1.72,2023,11,51.6
6,1.44,2023,12,44.64
6,0.76,2024,1,23.56
6,0.53,2024,2,15.37
6,0.32,2024,3,9.92
6,0.15,2024,4,4.5
6,1.3,2024,5,40.3
6,2.88,2024,6,86.4
6,2.99,2024,7,92.69
6,3.94,2024,8,122.14
6,3.02,2024,9,90.6
6,3.65,2024,10,113.15
7,3.8,2018,7,117.8
7,3.01,2018,8,93.31
7,3.21,2018,9,96.3
7,2.63,2018,10,81.53
7,1.44,2018,11,43.2
7,1.38,2018,12,42.78
7,2.27,2019,1,70.37
7,2.33,2019,2,65.24
7,0.8,2019,3,24.8
7,0.66,2019,4,19.8
7,0.74,2019,5,22.94
7,2.7,2019,6,81.0
7,3.15,2019,7,97.65
7,3.41,2019,8,105.71
7,3.03,2019,9,90.9
7,2.66,2019,10,82.46
7,2.05,2019,11,61.5
7,1.47,2019,12,45.57
7,1.06,2020,1,32.86
7,0.47,2020,2,13.63
7,0.29,2020,3,8.99
7,1.36,2020,4,40.8
7,2.35,2020,5,72.85
7,4.21,2020,6,126.3
7,3.97,2020,7,123.07
7,3.28,2020,8,101.68
7,3.59,2020,9,107.7
7,4.26,2020,10,132.06
7,2.27,2020,11,68.1
7,1.68,2020,12,52.08
7,1.23,2021,1,38.13
7,0.68,2021,2,19.04
7,0.51,2021,3,15.81
7,1.13,2021,4,33.9
7,2.0,2021,5,62.0
7,2.48,2021,6,74.4
7,3.94,2021,7,122.14
7,4.03,2021,8,124.93
7,4.26,2021,9,127.8
7,4.27,2021,10,132.37
7,1.52,2021,12,47.12
7,0.87,2022,1,26.97
7,0.62,2022,2,17.36
7,0.56,2022,3,17.36
7,0.61,2022,4,18.3
7,1.81,2022,5,56.11
7,3.11,2022,6,93.3
7,3.91,2022,7,121.21
7,4.27,2022,8,132.37
7,4.28,2022,9,128.4
7,4.05,2022,10,125.55
7,1.6,2022,11,48.0
7,1.22,2022,12,37.82
7,0.88,2023,1,27.28
7,0.45,2023,2,12.6
7,1.47,2023,3,45.57
7,1.19,2023,4,35.7
7,2.53,2023,5,78.43
7,2.62,2023,6,78.6
7,3.98,2023,7,123.38
7,3.67,2023,8,113.77
7,4.11,2023,9,123.3
7,1.95,2023,10,60.45
7,1.16,2023,11,34.8
7,1.98,2023,12,61.38
7,0.77,2024,1,23.87
7,0.41,2024,2,11.89
7,0.33,2024,3,10.23
7,0.23,2024,4,6.9
7,1.66,2024,5,51.46
7,3.39,2024,6,101.7
7,3.65,2024,7,113.15
7,4.58,2024,8,141.98
7,4.69,2024,9,140.7
7,4.73,2024,10,146.63
9,3.33,2018,7,103.23
