Year,Population,Urban Population,Rural Population
1960,445954579.0,80756165.0,369791510.0
1961,456351876.0,82882675.0,376759491.0
1962,467024193.0,85456483.0,383620708.0
1963,477933619.0,88127852.0,390697750.0
1964,489059309.0,90901311.0,397946828.0
1965,500114346.0,93760317.0,405363011.0
1966,510992617.0,96712771.0,412918738.0
1967,521987069.0,99765995.0,420634582.0
1968,533431909.0,102932969.0,428580865.0
1969,545314670.0,106238157.0,436846176.0
1970,557501301.0,109705504.0,445484293.0
1971,569999178.0,113522496.0,454345525.0
1972,582837973.0,118082741.0,463004514.0
1973,596107483.0,122837876.0,471932260.0
1974,609721951.0,127793753.0,481008842.0
1975,623524219.0,132920311.0,490182589.0
1976,637451448.0,138219074.0,499411011.0
1977,651685628.0,143699555.0,508709211.0
1978,666267760.0,149379784.0,518120031.0
1979,681248383.0,155285822.0,527709526.0
1980,696828385.0,161444126.0,537508711.0
1981,712869298.0,167521705.0,547863292.0
1982,729169466.0,173152674.0,559086824.0
1983,745826546.0,178956141.0,570472817.0
1984,762895156.0,184906540.0,581926871.0
1985,780242084.0,190975976.0,593384036.0
1986,797878993.0,197165615.0,604809635.0
1987,815716125.0,203469686.0,616212409.0
1988,833729681.0,209894840.0,627574098.0
1989,852012673.0,216442440.0,638892235.0
1990,870452165.0,223096279.0,650181520.0
1991,888941756.0,229752406.0,661520796.0
1992,907574049.0,236274336.0,673032682.0
1993,926351297.0,242896347.0,684507519.0
1994,945261958.0,249629427.0,695972401.0
1995,964279129.0,256470882.0,707451704.0
1996,983281218.0,263440889.0,718924359.0
1997,1002335230.0,270523260.0,730376768.0
1998,1021434576.0,277707329.0,741776257.0
1999,1040500054.0,284978105.0,753080049.0
2000,1059633675.0,292322757.0,764252791.0
2001,1078970907.0,300118526.0,774881568.0
2002,1098313039.0,308796506.0,784520681.0
2003,1117415123.0,317584393.0,793938753.0
2004,1136264583.0,326495070.0,803128396.0
2005,1154638713.0,335503761.0,812106163.0
2006,1172373788.0,344622641.0,820863650.0
2007,1189691809.0,353850624.0,829358847.0
2008,1206734806.0,363154576.0,837515186.0
2009,1223640160.0,372465918.0,845260299.0
2010,1240613620.0,381763164.0,852517999.0
2011,1257621191.0,391040056.0,859247883.0
2012,1274487215.0,400416922.0,865363321.0
2013,1291132063.0,409907903.0,870934216.0
2014,1307246509.0,419567353.0,876033415.0
2015,1322866505.0,429428650.0,880723742.0
2016,1338636340.0,439501314.0,885015936.0
2017,1354195680.0,449795398.0,888881381.0
2018,1369003306.0,460304169.0,892338114.0
2019,1383112050.0,471031529.0,895386227.0
2020,1396387127.0,481980332.0,898024053.0
2021,1407563842.0,493169259.0,900239774.0
