District,Year,Month,Rainfall,Inflow From Other States,Consumption,Irrigation,Industry,Domestic
3,2024,1,314.68,1377.32,225.43,232.00,0.05,0.21
3,2024,2,83.95,920.22,169.07,164.29,0.07,0.20
3,2024,3,42.18,224.38,131.03,132.99,0.21,0.19
3,2024,4,58.24,49.49,83.94,85.19,0.01,0.00
3,2024,5,305.47,13.81,51.03,43.92,0.03,0.01
3,2024,6,560.00,171.75,101.49,95.15,0.10,0.17
3,2024,7,678.69,1080.04,262.94,257.97,0.02,0.09
3,2024,8,86.91,1457.90,27.58,11.20,0.94,0.34
3,2024,9,54.61,442.40,63.99,63.57,0.54,0.40
3,2024,10,19.79,179.74,83.99,82.93,0.17,0.37
3,2024,11,2.21,81.69,46.56,46.99,0.26,0.50
3,2024,12,10.97,86.02,20.33,19.73,0.52,0.82
3,2025,1,12.86,89.45,14.30,14.39,0.42,0.78
3,2025,2,335.31,791.46,51.90,40.84,1.91,3.59
3,2025,3,728.94,1125.87,135.70,111.01,4.22,7.04
3,2025,4,19.23,1680.19,113.94,110.10,1.51,2.00
3,2025,5,61.06,1136.38,27.46,24.47,0.75,0.81
3,2025,6,21.95,331.07,45.84,40.07,0.56,0.89
3,2025,7,9.97,189.49,34.06,29.25,0.50,0.84
3,2025,8,6.20,132.03,22.01,20.81,0.47,0.87
3,2025,9,1.75,92.49,14.97,15.89,0.33,0.78
3,2025,10,17.38,103.82,11.55,11.84,0.36,0.74
3,2025,11,126.37,1462.94,32.66,30.74,1.12,2.12
3,2025,12,200.57,1396.42,117.77,101.61,1.83,2.97
3,2026,1,43.80,1290.42,44.69,37.96,0.68,0.79
3,2026,2,49.03,356.60,39.95,32.24,0.56,0.91
3,2026,3,15.87,206.56,29.61,25.52,0.47,0.90
3,2026,4,3.35,131.52,20.15,19.32,0.40,0.85
3,2026,5,2.70,100.90,15.56,16.29,0.34,0.80
3,2026,6,14.27,104.79,11.86,12.36,0.33,0.74
3,2026,7,79.27,1543.79,18.16,15.19,0.67,1.38
3,2026,8,71.62,1850.54,73.10,79.97,0.46,1.19
3,2026,9,56.91,1237.52,22.47,16.73,0.49,0.70
3,2026,10,40.16,341.98,25.76,20.85,0.35,0.86
3,2026,11,10.22,182.66,20.67,19.34,0.31,0.86
3,2026,12,1.29,110.88,15.97,16.08,0.27,0.80
3,2027,1,1.89,88.26,13.05,14.07,0.25,0.75
3,2027,2,13.93,107.02,10.74,11.53,0.28,0.71
3,2027,3,59.55,1626.86,10.32,5.99,0.47,0.97
3,2027,4,46.62,2028.95,42.62,52.94,0.17,0.59
3,2027,5,55.30,1348.90,18.48,15.41,0.37,0.66
3,2027,6,37.57,350.63,21.04,17.20,0.25,0.78
3,2027,7,9.92,171.61,17.92,16.94,0.26,0.83
3,2027,8,1.65,105.41,14.83,15.04,0.23,0.79
3,2027,9,1.79,85.09,12.42,13.44,0.22,0.74
3,2027,10,11.68,103.18,10.44,11.53,0.26,0.71
3,2027,11,54.65,1592.10,8.16,3.03,0.43,0.84
3,2027,12,44.49,2054.95,38.68,48.09,0.13,0.54
3,2028,1,54.42,1384.48,17.90,15.43,0.35,0.64
3,2028,2,37.72,363.39,20.35,16.70,0.23,0.76
3,2028,3,10.52,171.35,17.56,16.56,0.25,0.82
3,2028,4,1.86,105.63,14.68,14.88,0.22,0.78
3,2028,5,1.76,84.91,12.37,13.38,0.21,0.74
3,2028,6,11.08,101.95,10.41,11.56,0.25,0.71
3,2028,7,53.03,1541.07,6.97,2.65,0.42,0.81
3,2028,8,44.07,2061.32,38.24,48.20,0.13,0.55
3,2028,9,53.66,1403.27,17.90,15.63,0.35,0.64
3,2028,10,38.24,372.98,20.26,16.64,0.23,0.75
3,2028,11,10.89,172.76,17.52,16.51,0.25,0.82
3,2028,12,1.98,106.41,14.69,14.87,0.22,0.78
6,2024,1,471.24,1312.03,287.83,287.57,0.04,0.05
6,2024,2,86.76,799.64,192.40,187.32,0.01,0.01
6,2024,3,45.94,172.46,158.71,163.86,0.13,0.02
6,2024,4,79.81,20.05,103.58,106.27,0.06,0.19
6,2024,5,381.82,1.39,68.23,62.48,0.13,0.26
6,2024,6,868.82,251.52,144.57,143.69,0.07,0.19
6,2024,7,433.58,1034.02,274.45,270.75,0.30,0.11
6,2024,8,106.56,1125.45,21.47,14.22,1.06,0.32
6,2024,9,47.12,286.35,87.64,90.81,0.34,0.28
6,2024,10,58.58,117.94,91.77,93.50,0.04,0.02
6,2024,11,63.60,38.03,64.15,64.65,0.00,0.16
6,2024,12,14.97,93.49,23.65,24.78,0.47,0.70
6,2025,1,34.26,97.49,15.72,15.00,0.56,0.82
6,2025,2,810.32,512.28,76.25,63.65,3.69,6.79
6,2025,3,977.43,1513.26,201.93,185.88,4.36,7.44
6,2025,4,33.82,1992.58,32.46,31.33,0.71,0.63
